variant,start,len,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
u32,0,7,9,0xcafebabe,0x0000003e,0x0000003e,0x0000003e,1,1,1
u32,0,7,10,0x12345678,0x00000078,0x00000078,0x00000078,1,1,1
u32,0,7,11,0x87654321,0x00000021,0x00000021,0x00000021,1,1,1
u32,0,7,12,0x000000ff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,0,7,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,14,0x0f0f0f0f,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,7,15,0xf0f0f0f0,0x00000070,0x00000070,0x00000070,1,1,1
u32,0,7,16,0x00ff00ff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,0,7,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,18,0x33333333,0x00000033,0x00000033,0x00000033,1,1,1
u32,0,7,19,0xcccccccc,0x0000004c,0x0000004c,0x0000004c,1,1,1
u32,0,7,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,24,0x01234567,0x00000067,0x00000067,0x00000067,1,1,1
u32,0,7,25,0x89abcdef,0x0000006f,0x0000006f,0x0000006f,1,1,1
u32,0,7,26,0xfedcba98,0x00000018,0x00000018,0x00000018,1,1,1
u32,0,7,27,0x76543210,0x00000010,0x00000010,0x00000010,1,1,1
u32,0,7,28,0x3fffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,0,7,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,30,0x20202020,0x00000020,0x00000020,0x00000020,1,1,1
u32,0,7,31,0xa5a5a5a5,0x00000025,0x00000025,0x00000025,1,1,1
u32,0,8,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,1,0xffffffff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,8,2,0xaaaaaaaa,0x000000aa,0x000000aa,0x000000aa,1,1,1
u32,0,8,3,0x55555555,0x00000055,0x00000055,0x00000055,1,1,1
u32,0,8,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,5,0x7fffffff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,8,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,8,7,0xfffffffe,0x000000fe,0x000000fe,0x000000fe,1,1,1
u32,0,8,8,0xdeadbeef,0x000000ef,0x000000ef,0x000000ef,1,1,1
u32,0,8,9,0xcafebabe,0x000000be,0x000000be,0x000000be,1,1,1
u32,0,8,10,0x12345678,0x00000078,0x00000078,0x00000078,1,1,1
u32,0,8,11,0x87654321,0x00000021,0x00000021,0x00000021,1,1,1
u32,0,8,12,0x000000ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,8,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,14,0x0f0f0f0f,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,8,15,0xf0f0f0f0,0x000000f0,0x000000f0,0x000000f0,1,1,1
u32,0,8,16,0x00ff00ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,8,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,18,0x33333333,0x00000033,0x00000033,0x00000033,1,1,1
u32,0,8,19,0xcccccccc,0x000000cc,0x000000cc,0x000000cc,1,1,1
u32,0,8,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,24,0x01234567,0x00000067,0x00000067,0x00000067,1,1,1
u32,0,8,25,0x89abcdef,0x000000ef,0x000000ef,0x000000ef,1,1,1
u32,0,8,26,0xfedcba98,0x00000098,0x00000098,0x00000098,1,1,1
u32,0,8,27,0x76543210,0x00000010,0x00000010,0x00000010,1,1,1
u32,0,8,28,0x3fffffff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,8,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,8,30,0x20202020,0x00000020,0x00000020,0x00000020,1,1,1
u32,0,8,31,0xa5a5a5a5,0x000000a5,0x000000a5,0x000000a5,1,1,1
u32,0,15,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,15,1,0xffffffff,0x00007fff,0x00007fff,0x00007fff,1,1,1
u32,0,15,2,0xaaaaaaaa,0x00002aaa,0x00002aaa,0x00002aaa,1,1,1
u32,0,15,3,0x55555555,0x00005555,0x00005555,0x00005555,1,1,1
u32,0,15,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,15,5,0x7fffffff,0x00007fff,0x00007fff,0x00007fff,1,1,1
u32,0,15,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,15,7,0xfffffffe,0x00007ffe,0x00007ffe,0x00007ffe,1,1,1
u32,0,15,8,0xdeadbeef,0x00003eef,0x00003eef,0x00003eef,1,1,1
u32,0,15,9,0xcafebabe,0x00003abe,0x00003abe,0x00003abe,1,1,1
u32,0,15,10,0x12345678,0x00005678,0x00005678,0x00005678,1,1,1
u32,0,15,11,0x87654321,0x00004321,0x00004321,0x00004321,1,1,1
u32,0,15,12,0x000000ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,15,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,15,14,0x0f0f0f0f,0x00000f0f,0x00000f0f,0x00000f0f,1,1,1
u32,0,15,15,0xf0f0f0f0,0x000070f0,0x000070f0,0x000070f0,1,1,1
u32,0,15,16,0x00ff00ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,15,17,0xff00ff00,0x00007f00,0x00007f00,0x00007f00,1,1,1
u32,0,15,18,0x33333333,0x00003333,0x00003333,0x00003333,1,1,1
u32,0,15,19,0xcccccccc,0x00004ccc,0x00004ccc,0x00004ccc,1,1,1
u32,0,15,20,0x00000100,0x00000100,0x00000100,0x00000100,1,1,1
u32,0,15,21,0x00000400,0x00000400,0x00000400,0x00000400,1,1,1
u32,0,15,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,15,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,15,24,0x01234567,0x00004567,0x00004567,0x00004567,1,1,1
u32,0,15,25,0x89abcdef,0x00004def,0x00004def,0x00004def,1,1,1
u32,0,15,26,0xfedcba98,0x00003a98,0x00003a98,0x00003a98,1,1,1
u32,0,15,27,0x76543210,0x00003210,0x00003210,0x00003210,1,1,1
u32,0,15,28,0x3fffffff,0x00007fff,0x00007fff,0x00007fff,1,1,1
u32,0,15,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,15,30,0x20202020,0x00002020,0x00002020,0x00002020,1,1,1
u32,0,15,31,0xa5a5a5a5,0x000025a5,0x000025a5,0x000025a5,1,1,1
u32,0,16,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,16,1,0xffffffff,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,0,16,2,0xaaaaaaaa,0x0000aaaa,0x0000aaaa,0x0000aaaa,1,1,1
u32,0,16,3,0x55555555,0x00005555,0x00005555,0x00005555,1,1,1
u32,0,16,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,16,5,0x7fffffff,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,0,16,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,16,7,0xfffffffe,0x0000fffe,0x0000fffe,0x0000fffe,1,1,1
u32,0,16,8,0xdeadbeef,0x0000beef,0x0000beef,0x0000beef,1,1,1
u32,0,16,9,0xcafebabe,0x0000babe,0x0000babe,0x0000babe,1,1,1
u32,0,16,10,0x12345678,0x00005678,0x00005678,0x00005678,1,1,1
u32,0,16,11,0x87654321,0x00004321,0x00004321,0x00004321,1,1,1
u32,0,16,12,0x000000ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,16,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,16,14,0x0f0f0f0f,0x00000f0f,0x00000f0f,0x00000f0f,1,1,1
u32,0,16,15,0xf0f0f0f0,0x0000f0f0,0x0000f0f0,0x0000f0f0,1,1,1
u32,0,16,16,0x00ff00ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,16,17,0xff00ff00,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,0,16,18,0x33333333,0x00003333,0x00003333,0x00003333,1,1,1
